DATE,OPEN,HIGH,LOW,CLOSE,VOL
2015-10-06,182.636,183.716,180.802,182.418,569136.04126992
2015-10-07,182.695,183.459,180.356,181.724,1041687.1902174
2015-10-08,181.764,182.467,177.997,178.859,1033723.8594605
2015-10-09,178.413,181.298,177.689,180.921,822956.86912476
2015-10-12,181.139,183.736,180.346,182.586,987315.81941203
2015-10-13,182.19,183.132,181.04,182.19,527128.31142691
2015-10-14,181.813,182.319,176.748,178.591,889477.01017413
2015-10-15,179.543,182.21,179.127,181.912,636701.28121266
2015-10-16,183.122,183.221,181.199,182.14,657235.0533887
2015-10-19,182.12,183.31,181.179,182.695,760891.51254747
2015-10-20,183.072,185.501,182.795,184.787,602420.82697115
2015-10-21,185.689,187.196,183.042,183.429,646864.76707233
2015-10-22,184.143,185.094,182.586,183.151,739466.98523355
2015-10-23,184.906,184.985,180.435,183.221,598780.13015055
2015-10-26,184.073,185.382,183.171,183.726,523881.03986539
2015-10-27,183.528,185.084,182.676,184.49,436413.52572658
2015-10-28,185.203,185.848,183.578,185.471,402887.64095633
2015-10-29,185.828,189.535,185.59,188.514,762302.79956659
2015-10-30,188.673,190.309,187.583,189.406,766807.01439174
2015-11-02,190.071,192.033,188.98,191.27,763165.30878843
2015-11-03,191.042,191.518,187.711,189.664,706678.52062841
2015-11-04,189.734,190.695,187.87,190.259,725517.53784224
2015-11-05,190.864,192.063,189.149,191.23,745857.62373688
2015-11-06,192.083,192.083,188.128,189.684,716630.1621178
2015-11-09,189.674,189.843,184.956,186.056,906950.13559104
2015-11-10,184.966,187.216,184.966,185.303,1445308.216208
2015-11-11,185.56,187.176,184.599,185.848,1378368.4215489
2015-11-12,165.834,168.966,156.783,157.189,7286250.9299764
2015-11-13,155.891,157.844,153.869,154.285,3239765.2093296
2015-11-16,153.7,157.09,152.431,156.773,1565040.6367226
2015-11-17,157.626,159.618,155.167,156.654,1226578.903898
2015-11-18,156.922,157.219,155.237,156.991,822013.65728567
2015-11-19,156.743,157.784,154.86,155.009,716735.07552022
2015-11-20,155.484,157.636,155.187,155.445,768275.80202566
2015-11-23,155.306,157.051,154.166,155.256,938501.83258686
2015-11-24,153.522,156.436,153.522,155.802,790377.22254174
2015-11-25,156.565,159.479,156.228,156.852,963015.25257594
2015-11-27,157.417,157.417,155.455,157.378,307245.96047301
2015-11-30,157.239,157.289,155.247,155.356,1392511.5552217
2015-12-01,155.613,156.545,153.849,154.979,998284.31387875
2015-12-02,154.85,155.831,149.963,150.776,1395109.1707143
2015-12-03,150.944,151.985,146.295,147.762,1383335.6676406
2015-12-04,148.02,149.229,147.177,148.763,1043673.4833845
2015-12-07,148.615,149.784,143.797,144.362,1422995.9601044
2015-12-08,143.787,146.146,142.231,143.083,1556162.3400426
2015-12-09,142.954,149.16,142.855,146.255,1780632.634787
2015-12-10,146.216,147.227,143.529,144.868,1076569.8877402
2015-12-11,142.429,143.995,141.061,142.082,1061068.9325323
2015-12-14,141.963,143.549,139.257,140.893,1033387.9348162
2015-12-15,141.616,156.803,138.157,149.081,5929360.5012253
2015-12-16,151.807,154.652,149.884,153.522,2764279.5114624
2015-12-17,153.819,154.553,146.067,146.137,1815301.4703741
2015-12-18,144.342,146.315,142.617,142.776,2327138.6533979
2015-12-21,143.976,144.6,141.517,142.855,1185198.6369041
2015-12-22,143.371,143.728,140.625,141.16,910758.29034243
2015-12-23,141.745,143.311,139.951,142.34,1493420.0902631
2015-12-24,141.606,143.579,141.596,142.399,399687.78218244
2015-12-28,141.755,144.134,141.468,143.787,744111.42085617
2015-12-29,144.897,146.127,144.481,145.343,599764.70208097
2015-12-30,145.343,146.186,144.382,144.57,475291.00280309
2015-12-31,144.461,145.086,143.688,143.748,802507.83469683
2016-01-04,142.518,147.534,140.853,145.383,1895630.8380173
2016-01-05,145.492,146.85,143.153,144.402,1180827.5813974
2016-01-06,142.945,143.311,139.217,140.546,1097834.0186023
2016-01-07,138.266,142.726,136.689,142.122,1407006.7540621
2016-01-08,142.31,142.707,138.335,138.999,1078926.4041638
2016-01-11,139.544,141.448,138.523,140.427,1166732.8692951
2016-01-12,140.863,142.261,139.178,141.398,1094723.9414901
2016-01-13,141.656,142.181,135.381,135.748,1399014.1686064
2016-01-14,135.758,136.571,132.903,134.945,1174039.4825042
2016-01-15,131.822,138.186,131.465,137.79,1377760.1255714
2016-01-19,138.543,139.832,136.471,138.107,1239702.1582453
2016-01-20,136.154,138.563,133.141,136.937,645801.51009009
2016-01-21,136.799,139.782,135.847,137.334,740138.83452214
2016-01-22,138.404,139.277,136.164,137.929,1037074.026859
2016-01-25,138.454,139.733,136.799,138.196,893986.26891287
2016-01-26,138.88,145.839,138.226,144.64,1210550.3553299
2016-01-27,144.352,147.118,143.44,144.689,1034845.6258402
2016-01-28,146.087,146.761,139.108,141.854,1049285.3416313
2016-01-29,143.133,145.373,141.507,145.195,1314749.5395896
2016-02-01,144.868,149.299,143.906,147.911,903574.74862464
2016-02-02,147.435,147.961,143.896,145.016,746717.10661057
2016-02-03,144.749,146.077,139.445,141.269,1584947.9548322
2016-02-04,140.803,141.755,138.92,141.18,1647670.0289574
2016-02-05,140.883,141.289,136.987,137.463,1344772.9307713
2016-02-08,136.343,136.66,129.939,135.074,2209342.0869146
2016-02-09,134.786,137.175,132.873,135.123,1298242.8280143
2016-02-10,134.766,137.046,132.199,132.358,2307592.4795004
2016-02-11,130.881,136.343,125.676,132.199,2694849.0322785
2016-02-12,133.279,135.024,131.019,134.439,1020772.0981749
2016-02-16,135.629,142.261,134.806,139.425,1372748.4930403
2016-02-17,140.516,142.29,136.561,136.957,1540451.5580298
2016-02-18,135.926,138.305,134.241,136.868,1118362.7468648
2016-02-19,137.066,138.543,134.975,137.165,994149.31352751
2016-02-22,138.702,141.785,138.484,141.2,936745.541879
2016-02-23,141.755,144.531,140.714,140.893,731182.86157305
2016-02-24,140.684,143.847,138.91,143.658,654531.51571089
2016-02-25,144.025,144.659,140.427,143.341,670027.42700523
2016-02-26,143.827,144.57,141.725,143.311,617255.98558676
2016-02-29,143.262,144.263,141.696,141.755,902839.34602497
2016-03-01,143.182,146.612,142.568,146.434,651413.36833698
2016-03-02,145.581,146.88,144.521,145.314,690432.07499367
2016-03-03,144.531,147.257,143.133,146.939,822669.36605081
2016-03-04,147.128,147.326,144.372,145.512,759776.80764673
2016-03-07,144.56,145.998,143.638,144.689,502891.2979019
2016-03-08,143.817,145.79,142.439,142.945,1064121.5090297
2016-03-09,144.194,147.148,143.014,146.83,657586.10977373
2016-03-10,146.86,149.249,146.612,149.12,801314.44474427
2016-03-11,149.784,151.975,148.952,151.45,1008804.9088197
2016-03-14,150.449,152.937,150.27,152.154,697376.53520786
2016-03-15,151.212,152.917,150.27,151.46,869472.84892379
2016-03-16,151.4,153.006,150.003,151.866,509502.85981995
2016-03-17,150.746,151.767,149.319,150.905,607399.16967263
2016-03-18,151.212,151.44,149.666,150.449,894117.41066589
2016-03-21,150.449,151.678,150.359,151.549,407792.34251958
2016-03-22,150.944,152.144,150.449,151.143,423078.42700906
2016-03-23,151.172,154.691,150.498,153.888,812678.38203551
2016-03-24,153.809,154.81,152.808,154.592,885532.66975614
2016-03-28,154.216,155.623,152.263,154.533,668043.15140364
2016-03-29,154.374,155.821,153.264,155.772,694320.93236231
2016-03-30,155.128,158.587,155.128,156.486,825474.79078289
2016-03-31,155.247,155.465,153.095,153.175,1085729.6347978
2016-04-01,153.244,153.799,152.203,153.254,716814.76935475
2016-04-04,153.997,156.813,150.528,152.104,1089687.0893911
2016-04-05,151.44,153.72,151.063,153.304,758651.00613612
2016-04-06,153.72,153.869,151.133,152.739,727455.4094389
2016-04-07,151.787,152.392,148.198,148.872,608030.6676526
2016-04-08,149.993,150.27,148.079,149.14,527793.09923649
2016-04-11,149.269,150.26,147.832,147.851,381487.32442759
2016-04-12,147.762,149.606,146.632,149.517,706091.40908793
2016-04-13,150.647,153.72,150.439,153.323,729260.12171711
2016-04-14,153.076,154.295,152.6,153.76,522319.44422164
2016-04-15,153.829,154.791,152.877,153.978,430613.02511188
2016-04-18,153.214,156.0,152.144,153.76,784071.32178652
2016-04-19,154.642,155.475,153.145,153.611,554193.95168646
2016-04-20,153.829,154.126,151.331,151.331,714896.06462968
2016-04-21,151.341,151.757,149.398,150.112,718257.32863806
2016-04-22,150.359,151.866,148.248,151.341,565733.4171702
2016-04-25,150.558,151.252,148.684,150.369,647564.86227696
2016-04-26,150.855,151.688,149.21,151.222,687178.75073586
2016-04-27,151.034,152.927,149.943,152.144,388538.71560963
2016-04-28,150.548,151.371,148.486,148.912,665450.57982455
2016-04-29,149.021,149.517,147.257,149.13,476040.52836078
2016-05-02,149.358,149.765,145.879,148.516,902530.658514
2016-05-03,148.298,149.963,147.029,149.051,554965.67046389
2016-05-04,147.376,149.319,146.811,148.882,372933.85578202
2016-05-05,146.176,146.275,141.586,142.092,1620863.6458557
2016-05-06,143.47,144.322,140.665,143.807,1058336.1401557
2016-05-09,143.321,145.264,142.736,144.759,572342.96152282
2016-05-10,145.591,146.702,144.6,145.492,716639.24116224
2016-05-11,144.967,145.373,141.448,141.517,643130.25345918
2016-05-12,142.33,144.293,141.378,143.321,881845.56893062
2016-05-13,142.895,143.341,138.692,139.059,1036407.221484
2016-05-16,139.049,141.963,138.95,141.527,1010404.8382067
2016-05-17,140.377,140.377,136.908,137.641,1691521.8136045
2016-05-18,137.572,138.989,135.52,137.383,1679620.1951259
2016-05-19,128.125,137.77,127.074,137.126,5648237.9779555
2016-05-20,136.957,140.565,136.402,139.842,2039560.9295309
2016-05-23,139.079,140.902,138.603,139.356,1119797.2358863
2016-05-24,138.414,143.272,138.414,142.667,1179465.7247314
2016-05-25,142.608,147.445,142.152,146.662,1759517.8037668
2016-05-26,147.663,149.794,146.632,149.666,2294100.0106793
2016-05-27,149.814,150.726,148.942,149.328,1125875.1517478
2016-05-31,149.983,149.983,146.84,146.959,1768715.8845676
2016-06-01,146.959,147.009,145.135,146.474,1437937.0409051
2016-06-02,144.62,146.325,143.866,145.353,1381616.7018932
2016-06-03,144.897,145.859,143.054,143.995,937713.97328598
